,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
MUNICÍPIO,AMBIENTE,COMPUTADOR,NÚMERO DE SÉRIE,TOMBO,MONITOR AOC,NÚMERO DE SÉRIE AOC,TOMBO AOC,DATA,STATUS
NOVO ORIENTE,CASA DA MULHER,Desktop Dell D15U OptiPlex 7000,  2GJKBV3,162052,    AOC 24P1U,               -,-,17/10/2023,Entregue
NOVA RUSSAS,CASA DA MULHER,Desktop Dell D15U OptiPlex 7000,  GFJKBV3,162048,    AOC 24P1U,GNSM4XA018598,-,22/11/2023,Entregue
NOVA RUSSAS,SALA LILÁS,Desktop Dell D15U OptiPlex 7000,  3GJKBV3,162053,    AOC 24P1U,GNSM4XA018343,-,22/11/2023,Entregue
BATURITÉ,SALA LILÁS,Desktop Dell D15U OptiPlex 7000,  JFJKBV3,162050,    AOC 24P1U,GNSM4XA003008,10-SSPDS-154.740,04/12/2023,Entregue
BARBALHA,SALA LILÁS,Desktop Dell D15U OptiPlex 7000,  HFJKBV3,162049,    AOC 24P1U,GNSM4XA018349,10-SSPDS-154.738,11/12/2023,Entregue
ESTAÇÃO DA MULHER PARANGABA,SALA LILÁS,Desktop Dell D15U OptiPlex 7000,  DFJKBV3,162046,    AOC 24P1U,GNSM4XA010580,10-SSPDS-154.726,11/01/2024,Entregue
MARANGUAPE,CASA DA MULHER,Desktop Dell D15U OptiPlex 7000,  FFJKBV3,162047,    AOC 24P1U,GNSM4XA015393,10-SSPDS-154.718,26/02/2024,Entregue
MUCAMBO,CASA DA MULHER,Desktop Dell D15U OptiPlex 7000,  CFJKBV3,162045,    AOC 24P1U,GNSM4XA010556,10-SSPDS-154.708,04/03/2024,Entregue
SÃ0 GONÇALO,CASA DA MULHER,Desktop Dell D15U OptiPlex 7000,  BFJKBV3,162044,    AOC 24P1U,GNSM4XA003520,10-SSPDS-154.739,21/03/2024,Entregue
BEBERIBE,CASA DA MULHER,Desktop Dell D15U OptiPlex 7000,  1GJKBV3,162051,    AOC 24P1U,GNSM4XA003927,10-SSPDS-154.711,26/03/2024,Entregue